,id,probe_insertion,x,y,z,depth,theta,phi,roll,provenance,probe_name,coordinate_system,datetime,json,subject,start_time,number,lab,task_protocol
1130,2d5f6d81-38c4-4bdc-ac3c-302ea4d5f46e,45c49ba2-a113-4446-9c6d-9b049c1f9f74,-1692.58134127362,-646.061986972213,-193.0,6545.38226984899,11.0101321651163,43.0099564932367,0.0,Ephys aligned histology track,probe01,IBL-Allen,2020-06-24T19:30:28.199807,"{'2020-06-24T14:30:28_chrisk': [[-1.000376023327804, 0.0017823539823008851, 0.002386831202884301, 0.0026708626679777126, 0.003166097017371354, 1.0082589467587926], [-0.9589834597214631, 0.0019425768600458866, 0.0024305283513602095, 0.002794671255326123, 0.0032534913143231732, 0.9669553802412514]], '2020-06-16T13:50:12_chrisk': [[-1.000376023327804, 0.00033306522451655217, 0.000981239593575877, 0.0033991484759095377, 0.003515674205178631, 0.003705028515240905, 1.0082589467587926], [-0.948019570340123, 0.00038404523107182786, 0.0009448253031792858, 0.0032509624057835444, 0.0033530153158152056, 0.0035928769585601593, 0.9555765268141493]]}",CSHL047,2020-01-22T08:28:49,2.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.2.5
323,b52182e7-39f6-4914-9717-136db589706e,4762e8ed-4d94-4fd7-9522-e927f5ffca74,-1821.0,-2250.0,-27.0,6864.0,10.0,0.0,0.0,Planned,probe01,Needles-Allen,2020-06-09T07:59:14.315700,,CSHL047,2020-01-21T13:52:24,1.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.2.5
324,2d5f6d81-38c4-4bdc-ac3c-302ea4d5f46e,dec6ad00-01c8-4bfd-bcdc-b37c5e0cdb0e,-1300.0,-500.0,-242.0,4000.0,15.0,180.0,0.0,Planned,probe00,Needles-Allen,2020-06-09T07:59:14.315700,,CSHL047,2020-01-22T08:28:49,2.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.2.5
874,1538493d-226a-46f7-b428-59ce5f43f0f9,e3ce9c72-2a4f-4607-95d3-ea7e886082b8,-3700.49673616191,-3373.34214068752,-868.0,4231.70923320925,16.4031066323274,164.023430211992,0.0,Histology track,probe00,IBL-Allen,2020-06-09T07:59:14.315700,,CSHL047,2020-01-27T15:48:55,1.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.2.5
498,3ce452b3-57b4-40c9-885d-1b814036e936,32e21ee6-9b3a-4eb8-8527-2fea690a00ce,-2893.0,-3289.8,-1131.4,4643.4,10.0,0.0,0.0,Micro-manipulator,probe01,,2020-06-09T07:59:14.315700,,CSHL047,2020-01-28T13:57:03,1.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.2.5
325,2d5f6d81-38c4-4bdc-ac3c-302ea4d5f46e,45c49ba2-a113-4446-9c6d-9b049c1f9f74,-1304.0,-250.0,-265.0,6525.0,10.0,0.0,0.0,Planned,probe01,Needles-Allen,2020-06-09T07:59:14.315700,,CSHL047,2020-01-22T08:28:49,2.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.2.5
326,1538493d-226a-46f7-b428-59ce5f43f0f9,e3ce9c72-2a4f-4607-95d3-ea7e886082b8,-3577.0,-3000.0,-741.0,4000.0,15.0,180.0,0.0,Planned,probe00,Needles-Allen,2020-06-09T07:59:14.315700,,CSHL047,2020-01-27T15:48:55,1.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.2.5
327,1538493d-226a-46f7-b428-59ce5f43f0f9,71a92c54-69f0-488b-ae2a-cb6c1524233c,-3413.0,-3250.0,-598.0,5268.0,10.0,0.0,0.0,Planned,probe01,Needles-Allen,2020-06-09T07:59:14.315700,,CSHL047,2020-01-27T15:48:55,1.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.2.5
328,3ce452b3-57b4-40c9-885d-1b814036e936,10fb6de3-bc11-44d7-a132-0b5db29802b8,-3154.0,-3000.0,-455.0,4000.0,15.0,180.0,0.0,Planned,probe00,Needles-Allen,2020-06-09T07:59:14.315700,,CSHL047,2020-01-28T13:57:03,1.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.2.5
683,b52182e7-39f6-4914-9717-136db589706e,0393f34c-a2bd-4c01-99c9-f6b4ec6e786d,-2170.24188759455,-2429.7331688,-67.9999999999999,4307.79551125226,15.7930122778831,157.990047352447,0.0,Histology track,probe00,IBL-Allen,2020-06-09T07:59:14.315700,,CSHL047,2020-01-21T13:52:24,1.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.2.5
